PROMPT,ASW_A_and_H_Drywall_0E794834-3324-4B2B-9139-C4D2ABFC21CF.xml,ASW_Arkel_Constructors_LLC_666D03EE-ED12-4DB5-8C02-F31D2254A4C9.xml,ASW_Boltex_Manufacturing_C5E495FF-CC7F-499A-BEFA-2600787D7EF9.xml,ASW_Challenger_Growth_Equities_AB262040-FD79-4A32-B88F-A7B3A9A62BB7.xml,ASW_Chamberlin_Central_Service_2FA1D8CB-61DA-4FAF-B045-BAD99335510A.xml,ASW_D_and_J_Construction_36B9E4FD-5399-425D-A348-D690D3826A3F.xml,"ASW_Gulf_Safety_Products,_Inc_D4F37D0A-E964-4606-BCFD-1329AB66FB98.xml",ASW_Heggem-Lundquist_F27AF482-3F6D-4102-9144-29C13FF7E856.xml,"ASW_Highway_Graphics,_LLC._210AC5A1-87A1-4041-99D7-4E53BB2DCB3E.xml","ASW_Huval_And_Associates,_Inc._E21FF117-0F75-41D3-8996-8E4D71F41468.xml",ASW_J_B_James_Construction_A6261543-43E9-43BA-A5EF-CFA4883662F3.xml,ASW_Letsos_Company_961F6159-AFC2-4424-8580-78724531D617.xml,"ASW_Lincoln_Builders,_Inc._72CCAF54-6B9E-402A-BE9E-2F1860135056.xml",ASW_McConaughy_and_Sarkissian_6FD263B8-6D5F-4408-8DDB-623AD7EDB522.xml,ASW_McCullough_Consulting_LLC_5C807A43-B477-4496-A8C0-D16F0666D5BC.xml,"ASW_Nemmer_Electric,_Inc_E3C5E877-2A89-48D1-AD99-A5D9C1DCA23A.xml",ASW_Phylway_Construction_LLC_E4FC90B5-B8BD-41C8-8434-F6CEAAF99D92.xml,"ASW_Prairie_Contractors,_L.L.C_C96E2335-DB38-498E-9BAD-C1D07982ABF9.xml","ASW_Raven_Mechanical,_LP_6D83D5C2-E513-4A91-BE3D-5FD92D79B60F.xml","ASW_River_City_Ready_Mix,_LLC_AA5D5983-0666-4378-8530-908FDE1DEF3D.xml",ASW_Service_Contracting_5BEC82CC-C353-47FB-AD4C-8486E39FC620.xml,ASW_Shipman_Building_Service_9948EA37-6446-4602-8BD2-5541188E8170.xml,"ASW_Sprint_Transport,_LLC_56ABB34D-E843-4FA0-A775-CAD29136FD00.xml",ASW_The_Art_of_Concrete_2CF95C3D-6436-40FF-8D1C-22D7E2E35551.xml,ASW_W.L._Bass_Construction_5E959B2C-B5F7-4219-B9D8-65CA63D980DD.xml
Company Establishment Date,"January 1, 2022","January 01, 2016","January 01, 1994","October 01, 2023","January 01, 1994","December 01, 2021","October 01, 2015","June 22, 2022","December 01, 2021","January 01, 2022","December 01, 2021","March 01, 1972","December 01, 2021","January 01, 2006","March 15, 2025","October 01, 2015","January 01, 2000","January 01, 2022","December 01, 2011","January 01, 2022","March 01, 2025","January 15, 2025","January 01, 2012","August 01, 2022","January 01, 2021"
Will the plan allow Before Tax Contributions?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
How does the plan track deferrals?,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars
Minimum deferral percentage,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum deferral percentage,4,,,Four (4),4,,Four (4),,,,,,,,Six (6),,,,Four (4),,Four (4),,,,Four (4)
Minimum deferral amount,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum deferral amount (if other than 402g limit),,,,,,,,,,,,,,,,,,,,,,,,,
Will the plan allow 50+ Catch-Up Contributions?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Does your plan allow for fractional percentage elections? If yes, select appropriate value from drop down",Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
Is there a separate Before Tax Maximum % for HCE Employees?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Does your plan allow for fractional amount elections? If yes, select appropriate value from drop down",Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
Is there a separate Before Tax Maximum amount for HCE Employees?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Are 50+ Catch-Up Contributions tracked as a Separate Election? (""No"" is standard value)",,,,,,,,,,,,,,,,,,,,,,,,,
How does the plan track catch-up deferrals?,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars,Dollars
"Does your plan allow for fractional percentage elections? If yes, select appropriate value from drop down",Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
"If there is a separate catch-up Maximum % for HCE Employees, provide %",,,,,,,,,,,,,,,,,,,,,,,,,
"Does your plan allow for fractional amount elections? If yes, select appropriate value from drop down",Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
"If there is a separate catch-up Maximum amount for HCE Employees, provide amount",,,,,,,,,,,,,,,,,,,,,,,,,
Will the plan allow After Tax Contributions?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Is there a minimum after-tax percentage allowed by the Plan?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Is there a maximum after-tax percentage allowed by the Plan?,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes
Is there a minimum after-tax amount allowed by the Plan?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Is there a maximum after-tax amount allowed by the Plan? (if other than 402g limit),,,,,,,,,,,,,,,,,,,,,,,,,
Will the plan allow Roth deferrals?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Does the Plan allow Roth Corrective distributions?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Confirm the money type order for corrective distributions,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth,Before Tax then Roth
Does the Plan allow for Roth conversions of before tax monies?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Will the plan's existing in-service and separation from service distribution provisions apply?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Does the Plan allow In-Plan Roth Transfers?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Does the Plan utilize the automatic enrollment feature?,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No
Will Empower administer automatic enrollment?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Is this an existing Automatic Enrollment feature?,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No
What type of Automatic Enrollment Arrangement is the plan?,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA,EACA
What is the beginning default auto enroll before tax %?,5,1-10%,Three (3),3,1-10%,1-10%,1-10%,1-10%,1-10%,1-10%,1-10%,Two (2),1-10%,1-10%,Three (3),Two (2),1-10%,1-10%,1-10%,1-10%,Three (3),Three (3),Two (2),1-10%,1-10%
Will the plan increase the default deferral %?,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
What % will the automatic deferral increase annually?,1-3%,1-3%,1-3%,1,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,One (1),1-3%,1-3%,1-3%,1-3%,1-3%,One (1),One (1),1-3%,1-3%,1-3%
What is the maximum automatic deferral %?,6-15%,6-15%,6-15%,10,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,Ten (10),6-15%,6-15%,6-15%,6-15%,6-15%,Ten (10),Ten (10),6-15%,6-15%,6-15%
Does plan perform annual increase on Date of Participation?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"What is the date of annual increase for all participants? If left blank, 01/01 will be used as the assumed increase date.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4710 Seq 30, enter date. If left blank 1/1 will be used."
What is the Automatic Enrollment Default Increase Year?,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Which Safe harbor election will apply?,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match,Match
"Does a ""Wait and See"" or ""Maybe"" provision apply?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Which vesting schedule will apply?,"2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","Cliff 3 (0=0, 1=0, 2=0, 3=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","1 Yr/50 (0=0, 1=50, 2=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","Cliff 3 (0=0, 1=0, 2=0, 3=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","1-25 (0=0, 1=25, 2=50, 3=75, 4=100)","1 Yr/50 (0=0, 1=50, 2=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","1 Yr/50 (0=0, 1=50, 2=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","1 Yr/50 (0=0, 1=50, 2=100)","Cliff 3 (0=0, 1=0, 2=0, 3=100)","2-20 (0=0, 1=0, 2=20, 3=40, 4=60, 5=80, 6=100)","20/Yr (0=0, 1=20, 2=40, 3=60, 4=80, 5=100)","20/Yr (0=0, 1=20, 2=40, 3=60, 4=80, 5=100)","1 Yr/50 (0=0, 1=50, 2=100)"
Please describe your Vesting Schedule,,,,,,,,,,,,,,,,,,,,,,,,,
Will forfeitures be used to pay Plan expenses?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Will forfeitures be used to reallocate?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Will forfeiture money be used to reduce the employers contributions?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Will forfeitures be used for QAC or all employer monies?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Will the plan allow the Permissible withdrawal election?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Number of days?,,,,,,,,,,,,,,,,,,,,,,,,,
How will this provision be applied?,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.,Option A - applies to all participants regardless of any prior salary reduction agreement unless and until they make a contrary election after the Automatic Deferral Effective Date.
What date will the QAC provision be applied to eligible participants?,,,,"January 1, 2025",,,,,,,,,,,,,,,,,,,,,
What is the beginning default auto enroll before tax % ?,5,1-10%,Three (3),3,1-10%,1-10%,1-10%,1-10%,1-10%,1-10%,1-10%,Two (2),1-10%,1-10%,Three (3),Two (2),1-10%,1-10%,1-10%,1-10%,Three (3),Three (3),Two (2),1-10%,1-10%
Will the plan increase the default deferral % ?,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
What % will the automatic deferral increase annually?,1-3%,1-3%,1-3%,1,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,1-3%,One (1),1-3%,1-3%,1-3%,1-3%,1-3%,One (1),One (1),1-3%,1-3%,1-3%
What is the maximum automatic deferral %,6-15%,6-15%,6-15%,10,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,6-15%,Ten (10),6-15%,6-15%,6-15%,6-15%,6-15%,Ten (10),Ten (10),6-15%,6-15%,6-15%
Does plan perform annual increase on Date of Participation?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"What is the date of annual increase for all participants? If left blank, 01/01 will be used as the assumed increase date.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used.","If 'N' is selected for Page 4910 Seq 30, enter date. If left blank 1/1 will be used."
What is the Automatic Enrollment Default Increase Year?,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Will the plan allow the Permissible withdrawal election?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Number of days?,,,,,,,,,,,,,,,,,,,,,,,,,
How will this provision be applied?,,,,,,,,,,,,,,,,,,,,,,,,,
What is the beginning default auto enroll before tax % ?,5,,Three (3),3,,,,,,,,Two (2),,,Three (3),Two (2),,,,,Three (3),Three (3),Two (2),,
Will the plan increase the default deferral % ?,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
What % will the automatic deferral increase annually?,,,,1,,,,,,,,,,,One (1),,,,,,One (1),One (1),,,
What is the maximum automatic deferral %,,,,10,,,,,,,,,,,Ten (10),,,,,,Ten (10),Ten (10),,,
Does plan perform annual increase on Date of Participation?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
